name,price,length,width,handle,static_wgt,swing_wgt,twist_wgt,balance,power,pop,spin,price_q,length_q,width_q,handle_q,static_wgt_q,swing_wgt_q,twist_wgt_q,balance_q,power_q,pop_q,spin_q,embed_x,embed_y
11Six24 Hurache Control 16mm,79.99,16.5,7.5,5.5,7.4,106.0,5.55,23.7,53.8,34.6,2107,0,3,1,1,0,0,0,1,0,0,2,10.033354,4.6249065
11Six24 Hurache-X Control 16mm,139.99,16.5,7.5,6.0,8.2,119.0,6.4,24.1,56.6,35.7,1847,0,3,1,2,3,3,2,3,2,1,0,11.428907,3.9705899
11Six24 Hurache-X Control+ 14mm,139.99,16.5,7.5,6.0,8.2,115.4,6.15,23.9,56.9,36.8,2203,0,3,1,2,3,2,1,2,2,3,3,10.823533,2.8945549
11Six24 Hurache-X Control+ 16mm,149.9,16.5,7.5,6.0,8.0,117.4,6.3,24.2,56.8,36.1,1956,0,3,1,2,1,3,2,3,2,2,0,11.255361,3.667846
11Six24 Hurache-X Jelly Bean 16mm,99.99,16.46,7.52,6.0,8.2,122.6,6.31,24.6,57.0,36.4,2206,0,2,2,2,3,4,2,4,2,2,3,11.385281,2.9392822
11Six24 Hurache-X Power 16mm,169.99,16.5,7.5,6.0,8.1,115.2,6.21,23.7,58.3,36.9,2157,1,3,1,2,2,2,2,1,4,3,2,10.746752,2.7379854
11Six24 Monarch All Court 16mm,139.99,15.8,8.2,5.75,8.2,111.2,7.36,23.6,57.5,35.5,2131,0,0,4,2,3,1,4,1,3,1,2,5.9741206,5.025705
11Six24 Monarch Control 16mm,149.99,15.8,8.2,5.75,8.2,110.2,7.37,23.4,56.6,35.8,2051,0,0,4,2,3,1,4,0,2,1,1,6.037477,5.0454264
11Six24 Monarch Jelly Bean 16mm,99.99,15.8,8.2,5.75,7.9,107.2,7.09,23.7,55.0,34.3,2209,0,0,4,2,1,0,4,1,0,0,3,5.43526,4.856077
11Six24 Pegasus All Court 16mm,149.99,15.87,8.11,5.5,8.3,115.1,7.5,23.9,57.5,36.3,2132,0,0,4,1,4,2,4,2,3,2,2,6.280603,4.6648993
